1	0.862	1	2	2
1	0.862	2	2	2
1	0.862	1	2	1
1	0.862	2	2	2
1	0.862	2	2	2
1	0.862	2	2	2
1	0.862	1	2	3
1	0.862	2	2	2
1	0.862	1	2	2
1	0.862	1	2	2
1	0.862	2	2	2
1	0.862	1	2	3
1	0.862	2	3	3
1	0.862	1	3	3
1	0.862	2	3	3
1	0.862	1	2	2
1	0.862	2	2	1
1	0.862	1	2	2
1	0.862	1	3	3
1	0.862	2	2	2
1	0.862	2	2	2
1	0.862	1	3	2
1	0.862	2	2	1
1	0.862	2	2	2
1	0.862	1	2	2
1	0.862	1	2	1
1	0.862	2	2	1
1	0.862	1	2	1
1	0.862	2	2	3
1	0.862	2	2	3
1	0.862	1	2	1
1	0.862	2	2	1
1	0.862	1	2	1
1	0.862	2	2	2
1	0.862	1	2	1
1	0.862	2	2	1
1	0.862	2	2	1
1	0.862	1	2	2
1	0.862	2	2	1
1	0.862	1	2	1
1	0.862	1	2	1
1	0.862	1	2	1
1	0.862	2	2	.
1	0.862	2	2	1
1	0.862	2	2	1
1	0.862	1	4	3
1	0.862	2	2	2
1	0.862	2	2	3
1	0.862	1	3	2
1	0.862	2	2	1
1	0.862	2	2	1
1	0.862	2	2	4
1	0.862	1	2	4
1	0.862	2	2	1
1	0.862	1	2	1
1	0.862	2	4	2
1	0.862	2	3	2
1	0.862	2	2	3
1	0.862	1	2	1
1	0.862	1	3	2
1	0.862	2	2	1
1	0.862	2	2	1
1	0.862	2	2	1
1	0.862	1	2	2
1	0.862	1	2	2
1	0.862	2	3	.
1	0.862	2	2	1
1	0.862	2	2	1
1	0.862	1	2	2
1	0.862	2	4	1
1	0.862	2	2	2
1	0.862	2	4	3
1	0.862	1	2	3
1	0.862	1	2	1
1	0.862	2	2	2
1	0.862	2	2	1
1	0.862	2	2	1
1	0.862	1	2	2
1	0.862	2	2	1
1	0.862	1	2	1
1	0.862	2	2	.
1	0.862	1	2	1
1	0.862	2	2	2
1	0.862	2	2	1
1	0.862	2	2	1
1	0.862	1	2	2
1	0.862	1	2	.
1	0.862	2	2	2
