1	0.862	2	2
1	0.862	2	2
1	0.862	2	1
1	0.862	2	2
1	0.862	2	2
1	0.862	2	2
1	0.862	2	3
1	0.862	2	2
1	0.862	2	2
1	0.862	2	2
1	0.862	2	2
1	0.862	2	3
1	0.862	3	3
1	0.862	3	3
1	0.862	3	3
1	0.862	2	2
1	0.862	2	1
1	0.862	2	2
1	0.862	3	3
1	0.862	2	2
1	0.862	2	2
1	0.862	3	2
1	0.862	2	1
1	0.862	2	2
1	0.862	2	2
1	0.862	2	1
1	0.862	2	1
1	0.862	2	1
1	0.862	2	3
1	0.862	2	3
1	0.862	2	1
1	0.862	2	1
1	0.862	2	1
1	0.862	2	2
1	0.862	2	1
1	0.862	2	1
1	0.862	2	1
1	0.862	2	2
1	0.862	2	1
1	0.862	2	1
1	0.862	2	1
1	0.862	2	1
1	0.862	2	.
1	0.862	2	1
1	0.862	2	1
1	0.862	4	3
1	0.862	2	2
1	0.862	2	3
1	0.862	3	2
1	0.862	2	1
1	0.862	2	1
1	0.862	2	4
1	0.862	2	4
1	0.862	2	1
1	0.862	2	1
1	0.862	4	2
1	0.862	3	2
1	0.862	2	3
1	0.862	2	1
1	0.862	3	2
1	0.862	2	1
1	0.862	2	1
1	0.862	2	1
1	0.862	2	2
1	0.862	2	2
1	0.862	3	.
1	0.862	2	1
1	0.862	2	1
1	0.862	2	2
1	0.862	4	1
1	0.862	2	2
1	0.862	4	3
1	0.862	2	3
1	0.862	2	1
1	0.862	2	2
1	0.862	2	1
1	0.862	2	1
1	0.862	2	2
1	0.862	2	1
1	0.862	2	1
1	0.862	2	.
1	0.862	2	1
1	0.862	2	2
1	0.862	2	1
1	0.862	2	1
1	0.862	2	2
1	0.862	2	.
1	0.862	2	2
1	0.862	2	2
1	0.862	2	2
1	0.862	2	2
1	0.862	2	1
1	0.862	2	1
1	0.862	2	1
1	0.862	2	1
1	0.862	3	1
1	0.862	2	1
1	0.862	2	1
1	0.862	2	2
1	0.862	2	1
1	0.862	2	1
1	0.862	2	1
1	0.862	2	1
1	0.862	2	1
1	0.862	3	3
1	0.862	2	2
